"","Non.work.trips.person","Miles.person","X..change.in.consumption","Social.distancing.index","Unemployment.rate","X..working.from.home","Tests.done.1000.people","Imported.COVID.cases","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"2020-03-23",2.15,25.5571428571429,-20.6857142857143,49.8571428571429,8.45714285714286,29.8428571428571,0.651428571428571,62.2857142857143,-25.4176271186441,-6.92271186440678,-2.04406779661017,-9.00406779661017,-24.5742372881356,5.33830508474576
"2020-03-30",2.04285714285714,23.4571428571429,-24.6714285714286,55,10.9142857142857,33.3,1.83142857142857,160.428571428571,-30.5161507402423,-11.5397039030956,-7.88088829071332,-12.4771197846568,-29.1769851951548,6.01278600269179
"2020-04-06",2.08571428571429,23.1142857142857,-23.0571428571429,54.7142857142857,12.8857142857143,34.3857142857143,3.66857142857143,299.285714285714,-19.0923636363636,-7.81672727272727,-7.09672727272727,-15.4530909090909,-34.9098181818182,6.52581818181818
"2020-04-13",2.18285714285714,24.6571428571429,-19.4857142857143,51,13.4428571428571,33.6428571428571,5.56714285714286,436.571428571429,-14.6583760058522,-6.39136795903438,-6.06217995610827,-13.9583028529627,-30.6291148500366,6.24286759326993
"2020-04-20",2.31714285714286,26.4428571428571,-14.5285714285714,46,13.7142857142857,33.4,8.05857142857143,572.714285714286,-12.6705710102489,-4.62664714494876,-0.179355783308931,-11.6068814055637,-29.3660322108346,5.84553440702782
"2020-04-27",2.41714285714286,28.0857142857143,-10.8428571428571,42,13.6857142857143,34.1571428571429,11.7428571428571,676.142857142857,-9.21902654867257,-1.58554572271386,1.28171091445428,-9.16666666666667,-27.556784660767,4.9830383480826
"2020-05-04",2.52857142857143,29.9857142857143,-6.74285714285714,36.8571428571429,12.9285714285714,35.3714285714286,15.91,650.285714285714,-6.32352941176471,1.42205882352941,2.62867647058824,-8.18970588235294,-24.7845588235294,4.71544117647059
"2020-05-11",2.48,29.8571428571429,-8.52857142857143,38.4285714285714,12.4142857142857,36.9857142857143,20.44,640.285714285714,-7.62278106508876,-1.22707100591716,1.32100591715976,-8.25813609467456,-23.9326923076923,4.76997041420118
"2020-05-18",2.61714285714286,32.8714285714286,-3.45714285714286,32.2857142857143,11.7714285714286,37.6857142857143,25.4271428571429,736.142857142857,-4.72707100591716,1.01183431952663,4.9060650887574,-5.75147928994083,-22.8417159763314,4.07692307692308
"2020-05-25",2.58571428571429,34.6857142857143,-4.64285714285714,33.1428571428571,10.8571428571429,41.7428571428571,30.5057142857143,766.857142857143,-4.84455958549223,-0.181347150259067,4.38786084381939,-5.55292376017765,-25.6928201332346,4.21761658031088
