time_value,Illinois,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Utah,Virginia,Wisconsin,Wyoming
2020-04-13,77.5608876,12.1743702,16.9231985,17.6537243,18.9036405,43.568920299999995,182.0351161,100.1269301,35.406476399999995,56.031657100000004,8.315529699999999,17.789571799999997,50.3778486,18.566788199999998,23.742247300000002,132.3698398,14.739201399999999,80.7655205,176.84585669999998,84.22069119999999,11.2243524,40.5826373,27.438203700000003,33.0437992,19.761760900000002,264.5014491,328.6493408,17.649573099999998,13.8506146,21.568059400000003,18.589307799999997,12.1654875,89.18699430000001,22.211405,26.2529923,21.184738499999998,21.0810802,33.3971126,16.784809,11.162094100000001
2020-04-20,75.3761858,6.225530099999999,18.365804499999996,18.5776577,25.7518286,41.9536509,180.8824614,101.35926169999999,27.7914383,56.8813289,5.685832100000001,13.4653375,49.282356099999994,22.5821563,23.049857900000003,75.4953697,13.109741899999998,78.40414870000001,217.142491,64.8552393,15.0070476,52.9192197,21.6540219,26.7664334,33.8145688,271.7517655,271.8371201,18.9811703,38.677188,50.8328888,15.3487392,8.794044199999998,72.9704659,20.2183195,23.639309500000003,18.797197899999997,26.154819899999996,37.7507272,18.362135300000002,7.212429999999999
2020-04-27,114.1606018,3.3202827,22.3273207,36.16538680000001,29.465497499999998,64.9148248,173.7978513,145.5178051,23.3696548,45.70487610000001,1.6346766999999995,12.315857300000001,63.25728699999999,48.9051257,24.702657900000002,54.786346300000005,10.961818,95.82545780000001,247.26866280000002,62.0515545,23.703711,53.323697800000005,22.8271517,27.7223773,35.9371283,252.9279627,222.9154856,25.931948900000002,41.1598452,29.127998,15.097532300000001,9.3598808,77.1478061,22.3647193,38.9148336,19.4749733,31.478095099999997,52.941815399999996,27.123154,34.860078900000005
2020-05-04,142.15656289999998,3.4586278000000004,29.630524100000002,13.9249937,28.500248499999998,52.32691170000001,111.77940090000001,115.6337676,21.8972609,48.07648760000001,0.9950205999999999,11.4400631,67.29876589999999,65.5500282,24.3229608,56.07796929999999,13.480073599999999,114.28709190000001,189.960019,54.852092,60.50544579999999,60.098706099999994,25.320052699999998,29.634265400000004,47.5746098,192.60623089999999,138.5710308,25.4791538,36.9785278,35.4821089,19.1670835,9.548493200000001,72.7827202,21.9239408,53.043241699999996,24.9448592,33.2627768,69.320253,36.94715360000001,13.051063999999998
2020-05-11,120.77319039999999,1.521566,33.3571041,18.225113299999997,33.023563800000005,51.07657939999999,106.551791,131.1406048,18.8374783,42.573136299999994,0.9230575999999999,8.4661361,61.049472400000006,60.954371099999996,32.0028733,46.1042161,19.0579172,115.06611440000002,145.3898534,39.7021805,80.7610444,60.50941149999999,19.7802728,16.6917317,41.93385,134.7170397,93.05237220000002,29.502654200000002,38.330285499999995,36.8038739,14.311508300000002,12.4430325,58.4358254,19.9289611,28.7596978,27.828121000000003,32.2840372,65.15083659999999,37.4273401,12.5528337
2020-05-18,138.0566032,0.8297637999999999,38.6810357,25.501753200000003,30.683241799999998,40.2810087,122.07841160000001,133.91335070000002,25.3708623,40.2557832,0.4242123,10.9117464,53.8599619,39.2669482,28.1473489,62.2583061,18.660235699999998,105.64882379999999,132.8544941,42.57595769999999,81.04216710000001,59.103344299999996,18.0368714,29.373843500000003,36.159073,90.5629548,73.59063990000001,39.559179799999995,54.167784999999995,31.4548581,19.8196617,9.499230200000001,47.3431882,22.279421400000004,36.092429100000004,29.508368200000003,31.809013,71.0501138,38.9576167,16.7441142
2020-05-25,122.5711758,2.7653681,32.5194674,40.29420069999999,37.8186768,35.6675494,77.3289781,112.55293900000001,24.6953392,48.1943689,0.21188360000000003,9.568762300000001,51.3946441,28.215290099999997,14.2355988,66.6839615,26.8558828,122.23604289999999,98.65791859999999,34.87583730000001,87.6475628,68.0745487,20.0246749,29.0569699,40.0820469,77.143137,58.565112899999995,46.2429554,69.0232553,34.4166787,17.488124199999998,6.211861900000001,41.5074284,24.0059946,36.9590818,24.9414736,35.4652182,77.1716401,49.7558238,13.3043289
2020-06-01,72.7949019,8.019644300000001,48.707366799999996,46.841774,48.910657900000004,40.03129,52.365071199999996,65.72434369999999,23.6502715,42.348667500000005,0.6360958,11.8298858,46.2520869,27.2879784,33.0089166,54.4728696,20.448935300000002,102.11869979999999,64.4033089,26.655032700000007,69.0013508,77.112665,20.138729,24.1636514,35.8705463,65.7606075,45.991579699999996,54.614077300000005,22.035985599999997,30.001005600000003,20.7849808,8.3599831,32.9962934,38.208566899999994,29.692239900000004,31.814775500000003,46.0654114,89.803425,50.8026425,11.565904200000002
2020-06-08,56.6690455,13.273767399999999,103.713333,76.1149499,48.2964474,27.8880643,37.92121100000001,37.6888036,37.5924148,43.27792170000001,1.6950686000000001,19.5851858,41.487064000000004,21.4189065,32.007714099999994,58.2731779,17.779933599999996,83.9773193,40.928527599999995,20.7372549,53.4786667,67.738544,25.5318677,36.1669993,28.976745699999995,40.2941166,36.4354886,66.0273124,33.461844199999994,24.407353899999997,15.9718129,14.6998261,28.2870073,51.5080076,65.0005403,37.4880833,72.45884079999999,53.5292583,42.8514948,8.6391745
2020-06-15,36.3089092,13.965109400000001,125.92878660000001,105.2752266,55.4511954,19.3618878,32.05913009999999,37.7914978,57.83663339999999,55.729153800000006,4.237671199999999,11.751111499999999,41.695019099999996,26.602007299999997,26.2105127,88.66815770000001,16.515252100000005,60.00979219999999,29.94558,10.4637525,43.7794524,68.24255099999999,20.448305100000002,48.6663662,19.5629807,29.339611100000006,26.4476,81.96921379999999,29.000265099999996,23.4320861,30.6294892,27.431772100000003,25.3065455,88.91540679999999,58.5575943,47.413631,71.30473939999999,42.586748400000005,32.52935109999999,20.561235300000003
